TransactionID	CustomerID	Product	Amount	TransactionDate	PaymentMethod	City	Category
98	CUST077	Big Data Essentials	317.34	22-03-2025	Credit Card	Seattle	Tech
99	CUST085	Python for Data	274	16-05-2025	Debit Card	Houston	Tech
100	CUST018	Python for Data	398.26	12-06-2025	Debit Card	Chicago	Tech
101	CUST097	Python for Data	314.66	12-06-2025	Cash	Chicago	Big Data
102	CUST031	Big Data Essentials	245.69	02-02-2025	Cash	New York	Programming
103	CUST011	Python for Data	436.42	03-05-2025	Credit Card	New York	Tech
104	CUST100	Spark Intro	382.26	05-01-2025	Cash	Houston	Programming
105	CUST081	Big Data Essentials	264.29	10-02-2025	Debit Card	San Francisco	Programming
106	CUST050	Big Data Essentials	367.89	28-01-2025	Credit Card	Seattle	Tech
107	CUST009	Spark Intro	490.69	15-05-2025	Credit Card	Chicago	Big Data
108	CUST037	Big Data Essentials	411.96	13-03-2025	PayPal	Chicago	Tech
109	CUST089	Spark Intro	325.97	12-01-2025	PayPal	Los Angeles	Tech
110	CUST074	Hadoop Advanced	236.86	11-06-2025	Credit Card	Houston	Programming
111	CUST048	Hadoop Basics	219.78	02-02-2025	Credit Card	Seattle	Big Data
112	CUST034	Big Data Essentials	203.84	17-02-2025	Credit Card	Los Angeles	Big Data
113	CUST061	Spark Advanced	408.08	31-05-2025	Cash	Seattle	Programming
114	CUST007	Spark Intro	181.13	03-03-2025	Cash	Chicago	Programming
115	CUST029	Big Data Essentials	401.42	06-02-2025	Cash	Seattle	Big Data
116	CUST014	Big Data Essentials	263.28	09-04-2025	Credit Card	Los Angeles	Tech
117	CUST059	Hadoop Advanced	167.78	21-06-2025	Cash	Chicago	Big Data
118	CUST039	Python for Data	132.68	14-04-2025	Debit Card	Houston	Tech
119	CUST055	Hadoop Advanced	253.94	04-02-2025	Cash	Seattle	Programming
120	CUST070	Python for Data	302.69	11-04-2025	PayPal	Chicago	Tech
121	CUST073	Hadoop Basics	169.07	24-06-2025	Credit Card	Seattle	Tech
122	CUST041	Spark Advanced	476.59	11-05-2025	PayPal	Houston	Tech
123	CUST012	Python for Data	97.43	01-01-2025	PayPal	New York	Programming
124	CUST027	Spark Intro	306.64	05-01-2025	Credit Card	Houston	Programming
125	CUST074	Hadoop Basics	362.88	22-05-2025	Cash	Seattle	Programming
126	CUST078	Spark Intro	272.59	13-04-2025	PayPal	Los Angeles	Big Data
127	CUST019	Python for Data	253.7	27-01-2025	Credit Card	Los Angeles	Programming
128	CUST035	Hadoop Basics	75.05	17-05-2025	Credit Card	San Francisco	Big Data
129	CUST031	Spark Advanced	470.48	15-01-2025	Debit Card	Los Angeles	
130	CUST042	Hadoop Advanced	131.77	31-03-2025	Cash	New York	Big Data
131	CUST023	Hadoop Advanced	334.81	11-02-2025	PayPal	Seattle	Programming
132	CUST098	Spark Advanced	358.26	04-05-2025	Credit Card	New York	Big Data
133	CUST064	Python for Data	105.31	28-06-2025	Cash	New York	Programming
134	CUST053	Hadoop Advanced	81.6	04-03-2025	Cash	New York	Programming
135	CUST054	Hadoop Advanced	315.5	06-04-2025	PayPal	Los Angeles	Big Data
136	CUST017	Spark Advanced	182.54	21-02-2025	Debit Card	San Francisco	Tech
137	CUST003	Python for Data	195.79	06-04-2025	Debit Card	Seattle	Programming
138	CUST084	Spark Intro	387.6	12-05-2025	Cash	San Francisco	Tech
139	CUST040	Spark Intro	105.79	31-05-2025	Cash	Chicago	Big Data
140	CUST015	Hadoop Basics	293.48	23-05-2025	Credit Card	Los Angeles	Tech
141	CUST075	Big Data Essentials	105.99	20-06-2025	Debit Card	Chicago	Tech
142	CUST092	Spark Advanced	461.96	29-01-2025	PayPal	Seattle	Tech
143	CUST025	Hadoop Advanced	461.75	05-02-2025	Credit Card	Chicago	Tech
144	CUST001	Spark Advanced	357.49	13-01-2025	Credit Card	Los Angeles	Big Data
145	CUST055	Hadoop Basics	449.58	09-06-2025	Debit Card	New York	Programming
146	CUST005	Spark Advanced	337.52	12-03-2025	Cash	Los Angeles	Tech
147	CUST051	Hadoop Basics	282.02	27-03-2025	PayPal	Houston	Big Data
148	CUST049	Python for Data	231.45	28-01-2025	Cash	Chicago	Programming
149	CUST012	Big Data Essentials	489.59	07-03-2025	Cash	Houston	Big Data
150	CUST008	Python for Data	473.22	19-06-2025	Debit Card	Los Angeles	Big Data
151	CUST095	Hadoop Basics	175.95	14-02-2025	Cash	Houston	Tech
152	CUST059	Big Data Essentials	211.27	03-03-2025	Debit Card	San Francisco	Big Data
153	CUST035	Big Data Essentials	195.68	14-05-2025	Cash	New York	Big Data
154	CUST097	Spark Advanced	173.58	28-01-2025	Credit Card	Seattle	Programming
155	CUST084	Hadoop Advanced	417.8	28-01-2025	Cash	New York	Big Data
156	CUST020	Spark Advanced	364.76	18-04-2025	Debit Card	Chicago	Big Data
157	CUST094	Hadoop Basics	162.56	13-02-2025	Debit Card	Los Angeles	Tech
158	CUST009	Hadoop Basics	280.38	25-03-2025	Cash	Seattle	Big Data
159	CUST043	Spark Advanced	168.81	30-01-2025	Cash	Seattle	Big Data
160	CUST098	Hadoop Advanced	442.86	16-03-2025	PayPal	Los Angeles	Tech
161	CUST090	Python for Data	494.24	08-05-2025	Credit Card	Chicago	Tech
162	CUST087	Hadoop Basics	156.23	02-04-2025	PayPal	Chicago	Big Data
163	CUST074	Spark Advanced	274.01	09-05-2025	Debit Card	Chicago	Tech
164	CUST077	Python for Data	479.71	01-05-2025	Credit Card	San Francisco	Big Data
165	CUST004	Big Data Essentials	412.14	27-01-2025	PayPal	Los Angeles	Big Data
166	CUST070	Spark Intro	120.89	01-05-2025	Debit Card	Seattle	Big Data
167	CUST005	Big Data Essentials	115.55	26-04-2025	PayPal	Chicago	Programming
168	CUST035	Big Data Essentials	230.8	03-01-2025	Credit Card	Seattle	Big Data
169	CUST057	Hadoop Basics	64.52	13-04-2025	Debit Card	San Francisco	Programming
170	CUST034	Python for Data	428.66	04-06-2025	Debit Card	Los Angeles	Tech
171	CUST071	Spark Advanced	330.58	17-05-2025	Cash	Houston	Big Data
172	CUST064	Spark Advanced	458.42	03-03-2025	Credit Card	Chicago	Programming
173	CUST045	Hadoop Basics	429.7	14-06-2025	Credit Card	New York	Tech
174	CUST044	Hadoop Advanced	396.71	20-02-2025	Debit Card	Los Angeles	Big Data
175	CUST082	Big Data Essentials	201.81	21-06-2025	PayPal	San Francisco	Tech
176	CUST040	Hadoop Basics	101.08	01-06-2025	Credit Card	Los Angeles	Tech
177	CUST063	Big Data Essentials	241.85	28-02-2025	Cash	San Francisco	Programming
178	CUST020	Hadoop Advanced	239.53	28-04-2025	Cash	Los Angeles	Programming
179	CUST024	Spark Advanced	338.41	09-06-2025	PayPal	Chicago	Big Data
180	CUST023	Spark Advanced	438.86	06-04-2025	PayPal	San Francisco	Tech
181	CUST010	Python for Data	312.23	29-06-2025	PayPal	Houston	Programming
182	CUST026	Spark Advanced	326.43	23-04-2025	Credit Card	Seattle	Big Data
183	CUST069	Hadoop Basics	289.2	03-03-2025	Debit Card	Chicago	Programming
184	CUST033	Hadoop Basics	242.99	21-02-2025	PayPal	Los Angeles	Programming
185	CUST073	Spark Intro	459.91	12-01-2025	PayPal	Seattle	Tech
186	CUST019	Python for Data	350.16	08-02-2025	Credit Card	Los Angeles	Programming
187	CUST050	Spark Intro	278.69	10-05-2025	Credit Card	San Francisco	Programming
188	CUST086	Big Data Essentials	68.64	11-05-2025	Cash	New York	Big Data
189	CUST042	Hadoop Basics	94.56	23-04-2025	Credit Card	Houston	Big Data
190	CUST081	Python for Data	74.32	11-04-2025	Debit Card	Los Angeles	Programming
191	CUST092	Hadoop Basics	168.98	23-04-2025	Credit Card	New York	Big Data
192	CUST012	Big Data Essentials	113.61	22-03-2025	Credit Card	New York	Programming
193	CUST025	Spark Intro	77.26	23-04-2025	Cash	San Francisco	Big Data
194	CUST026	Big Data Essentials	226.18	02-01-2025	Credit Card	Houston	Big Data
195	CUST077	Hadoop Basics	50.19	10-05-2025	Cash	Chicago	Big Data
196	CUST011	Python for Data	442.14	23-02-2025	Cash	Chicago	Programming
197	CUST012	Spark Intro	159.46	28-03-2025	Debit Card	New York	Programming
198	CUST086	Spark Advanced	214.62	09-05-2025	Cash	Los Angeles	Big Data
199	CUST042	Spark Advanced	182.09	27-05-2025	Cash	San Francisco	Big Data
200	CUST095	Hadoop Basics	358.69	06-05-2025	Cash	New York	Big Data
201	CUST041	Big Data Essentials	114.14	10-05-2025	PayPal	Seattle	Programming
202	CUST004	Hadoop Advanced	361.79	22-02-2025	Credit Card	Seattle	Big Data
203	CUST047	Spark Advanced		21-06-2025	PayPal	San Francisco	Programming
204	CUST059	Hadoop Basics	150.95	09-06-2025	Cash	Los Angeles	Programming
205	CUST053	Spark Intro	257.68	09-06-2025	Credit Card	Chicago	Tech
206	CUST056	Big Data Essentials	252.91	09-03-2025	Cash	Los Angeles	Programming
207	CUST046	Python for Data	301.96	03-05-2025	Debit Card	Chicago	Big Data
208	CUST093	Hadoop Basics	353.7	25-05-2025	Debit Card	Chicago	Tech
209	CUST063	Spark Intro	54.19	07-02-2025	Debit Card	Seattle	Programming
210	CUST094	Spark Intro	246.7	24-01-2025	Debit Card	Houston	Tech
211	CUST065	Big Data Essentials	118.23	10-03-2025	Cash	New York	Programming
212	CUST042	Spark Advanced	244.59	26-04-2025	PayPal	Houston	Programming
213	CUST047	Spark Advanced	379.99	08-04-2025	Cash	Houston	Programming
214	CUST033	Spark Intro	405.86	19-05-2025	Cash	Seattle	Tech
215	CUST047	Spark Advanced	298.67	24-05-2025	PayPal	Chicago	Tech
216	CUST009	Hadoop Basics	406.71	07-04-2025	PayPal	New York	Programming
217	CUST034	Hadoop Advanced	294.85	04-05-2025	Cash	Los Angeles	Tech
218	CUST048	Hadoop Basics	65.36	11-03-2025	Cash	Chicago	Big Data
219	CUST033	Hadoop Advanced	378.47	03-04-2025	Debit Card	Seattle	Programming
220	CUST086	Spark Intro	449.06	03-01-2025	Credit Card	Chicago	Big Data
221	CUST011	Python for Data	375.81	28-05-2025	Credit Card	New York	Tech
222	CUST045	Spark Intro	329.43	13-06-2025	PayPal	Los Angeles	Tech
223	CUST065	Big Data Essentials	417.78	27-05-2025	PayPal	Chicago	Tech
224	CUST073	Python for Data	348.5	31-03-2025	Cash	San Francisco	Programming
225	CUST097	Spark Advanced	498.35	27-05-2025	Cash	Los Angeles	Programming
226	CUST035	Python for Data	431.08	28-05-2025	PayPal	Seattle	Big Data
227	CUST047	Hadoop Advanced	422.76	06-04-2025	Cash	San Francisco	Big Data
228	CUST013	Big Data Essentials	70.59	21-02-2025	Cash	Seattle	Programming
229	CUST085	Spark Intro	495.17	10-06-2025	Cash	Seattle	Big Data
230	CUST031	Spark Advanced	163.63	17-06-2025	Debit Card	New York	Programming
231	CUST018	Hadoop Advanced	236.03	08-05-2025	Debit Card	Houston	Tech
232	CUST077	Spark Advanced	294.22	08-02-2025	Credit Card	Chicago	Big Data
233	CUST011	Hadoop Basics	68.37	23-03-2025	Credit Card	Los Angeles	Tech
234	CUST012	Hadoop Advanced	203.14	14-04-2025	Cash	Los Angeles	
235	CUST044	Python for Data	218.9	09-05-2025	Debit Card	San Francisco	Tech
236	CUST053	Big Data Essentials	384.71	11-01-2025	Debit Card	Seattle	Big Data
237	CUST066	Hadoop Basics	286.19	27-06-2025	PayPal	Seattle	Tech
238	CUST073	Spark Intro	341.62	31-05-2025	Cash	Los Angeles	Programming
239	CUST004	Spark Intro	225.61	08-06-2025	PayPal	Los Angeles	Big Data
240	CUST037	Python for Data	425.35	11-02-2025	Debit Card	Houston	Big Data
241	CUST008	Hadoop Basics	107.81	09-04-2025	Cash	Chicago	Programming
242	CUST031	Python for Data	337.26	07-01-2025	Debit Card	New York	Programming
243	CUST017	Big Data Essentials	213.1	24-05-2025	PayPal	Chicago	Tech
244	CUST021	Spark Advanced	66.95	31-03-2025	PayPal	New York	Tech
245	CUST063	Hadoop Basics	150.45	22-04-2025	Cash	San Francisco	Tech
246	CUST029	Spark Advanced	418.63	01-03-2025	PayPal	Houston	Big Data
247	CUST018	Spark Advanced	368.29	23-04-2025	Cash	Houston	Big Data
248	CUST033	Python for Data	93.52	02-01-2025	PayPal	San Francisco	Programming
249	CUST058	Big Data Essentials	332.14	09-05-2025	Cash	New York	Big Data
250	CUST014	Big Data Essentials	51.45	17-02-2025	Cash	San Francisco	Tech
251	CUST093	Hadoop Advanced	184.35	20-05-2025	Debit Card	Seattle	Tech
252	CUST010	Python for Data	426.04	06-02-2025	PayPal	New York	Tech
253	CUST019	Hadoop Advanced	486.48	09-06-2025	Credit Card	Los Angeles	Programming
254	CUST044	Spark Advanced	340.55	09-01-2025	Cash	Los Angeles	Tech
255	CUST066	Hadoop Advanced	468.83	09-04-2025	PayPal	Los Angeles	Tech
256	CUST066	Spark Intro	106.5	27-05-2025	Debit Card	Los Angeles	Programming
257	CUST025	Big Data Essentials	79	17-02-2025	PayPal	Los Angeles	Big Data
258	CUST096	Hadoop Basics	340.3	11-05-2025	PayPal	New York	Programming
259	CUST059	Spark Advanced	75.59	28-05-2025	Cash	Houston	Big Data
260	CUST032	Hadoop Advanced	136.07	01-06-2025	Debit Card	Seattle	Programming
261	CUST011	Spark Intro	215.77	23-02-2025	PayPal	Chicago	Programming
262	CUST027	Python for Data	450.78	30-04-2025	PayPal	Chicago	Tech
263	CUST088	Hadoop Basics	101.46	10-06-2025	Credit Card	Los Angeles	Tech
264	CUST069	Python for Data	207.26	01-06-2025	Credit Card	New York	Tech
265	CUST060	Spark Advanced	353.54	26-04-2025	Credit Card	Seattle	Big Data
266	CUST086	Spark Intro	388.63	16-03-2025	Cash	Seattle	Big Data
267	CUST059	Python for Data	261.92	23-04-2025	Credit Card	Los Angeles	Tech
268	CUST019	Hadoop Advanced	426.01	13-06-2025	Credit Card	New York	Tech
269	CUST040	Spark Advanced	187.76	15-06-2025	Debit Card	Seattle	Tech
270	CUST071	Big Data Essentials	343.22	14-04-2025	Credit Card	Los Angeles	Big Data
271	CUST087	Hadoop Basics	206.07	25-03-2025	Credit Card	Los Angeles	Big Data
272	CUST056	Spark Advanced	140.05	22-04-2025	Credit Card	Los Angeles	Programming
273	CUST023	Spark Intro	184.4	09-04-2025	Credit Card	San Francisco	Programming
274	CUST017	Big Data Essentials	192.05	02-06-2025	Cash	Houston	Big Data
275	CUST056	Python for Data	101.86	03-04-2025	PayPal	Los Angeles	Programming
276	CUST001	Python for Data	130.27	26-05-2025	Debit Card	Houston	Tech
277	CUST076	Big Data Essentials	105.37	08-05-2025	Credit Card	Los Angeles	
278	CUST022	Hadoop Advanced	466.88	20-04-2025	Debit Card	San Francisco	Big Data
279	CUST045	Python for Data	309.4	23-03-2025	PayPal	Los Angeles	Big Data
280	CUST066	Hadoop Advanced	488.66	23-02-2025	Credit Card	Los Angeles	Big Data
281	CUST093	Hadoop Basics	238.42	12-06-2025	Cash	New York	Big Data
282	CUST049	Hadoop Advanced	87.27	18-06-2025	Debit Card	Seattle	Tech
283	CUST021	Python for Data	436.58	10-06-2025	PayPal	New York	Big Data
284	CUST067	Big Data Essentials	124.97	09-03-2025	PayPal	New York	Programming
285	CUST063	Python for Data	342.61	02-02-2025	PayPal	San Francisco	Programming
286	CUST034	Hadoop Advanced	471.05	22-05-2025	Debit Card	Los Angeles	Programming
287	CUST010	Hadoop Basics	101.87	21-01-2025	Credit Card	Houston	Tech
288	CUST071	Spark Intro	209.8	17-02-2025	PayPal	Chicago	Tech
289	CUST083	Python for Data	202.49	28-05-2025	Debit Card	New York	Tech
290	CUST023	Hadoop Advanced	250.25	08-05-2025	Cash	Los Angeles	Big Data
291	CUST096	Python for Data	340.89	16-05-2025	Credit Card	New York	Big Data
292	CUST081	Python for Data	348.88	15-05-2025	Cash	Los Angeles	Programming
293	CUST087	Spark Intro	174	25-05-2025	PayPal	Houston	Programming
294	CUST045	Big Data Essentials	438.46	08-05-2025	Cash	Houston	Tech
295	CUST076	Spark Intro	141.11	02-02-2025	Credit Card	Los Angeles	Tech
296	CUST039	Hadoop Basics	469.87	25-06-2025	PayPal	New York	Tech
297	CUST018	Spark Advanced	91.23	25-04-2025	Credit Card	Los Angeles	Big Data
298	CUST039	Hadoop Basics	433.86	29-04-2025	PayPal	Chicago	Programming
299	CUST090	Hadoop Basics	292.9	22-01-2025	PayPal	Los Angeles	Programming
300	CUST025	Hadoop Advanced	298.89	07-06-2025	Credit Card	New York	Tech
301	CUST019	Hadoop Advanced	143.98	07-02-2025	Cash	Chicago	Programming
302	CUST058	Hadoop Advanced	222.85	19-04-2025	Cash	Seattle	Programming
303	CUST039	Spark Advanced	352.52	20-02-2025	Credit Card	Chicago	Tech
304	CUST024	Spark Advanced	267.32	08-01-2025	Credit Card	Chicago	Programming
305	CUST016	Hadoop Advanced	489.44	27-01-2025	Debit Card	San Francisco	Big Data
306	CUST051	Spark Advanced	299.27	27-01-2025	Cash	Los Angeles	Tech
307	CUST087	Spark Intro	176.19	21-01-2025	PayPal	Chicago	Tech
308	CUST088	Hadoop Basics	144.35	30-01-2025	Credit Card	Seattle	Big Data
309	CUST083	Hadoop Advanced	67.57	07-04-2025	Credit Card	Chicago	Big Data
310	CUST029	Hadoop Advanced	424.45	28-01-2025	Cash	Houston	Tech
311	CUST059	Hadoop Basics	425.11	21-04-2025	Cash	Chicago	Tech
312	CUST042	Spark Intro	342.45	02-03-2025	Credit Card	San Francisco	Programming
313	CUST013	Big Data Essentials	476.85	17-02-2025	Cash	San Francisco	Tech
314	CUST015	Python for Data	360.13	27-05-2025	Credit Card	San Francisco	Big Data
315	CUST043	Spark Intro	351.2	04-01-2025	Debit Card	Seattle	Programming
316	CUST077	Hadoop Basics	151.57	04-02-2025	Cash	New York	Programming
317	CUST041	Python for Data	422.26	18-02-2025	Debit Card	Seattle	Programming
318	CUST078	Spark Advanced	228.66	17-01-2025	Debit Card	Los Angeles	Tech
319	CUST078	Hadoop Advanced	482.99	21-06-2025	Cash	Houston	Big Data
320	CUST001	Spark Advanced	278.58	07-06-2025	PayPal	Chicago	Big Data
321	CUST013	Hadoop Basics	178.64	15-02-2025	Cash	Seattle	Big Data
322	CUST076	Hadoop Advanced	106.55	27-04-2025	Credit Card	Seattle	Tech
323	CUST099	Spark Intro	342.95	06-01-2025	Cash	New York	Programming
324	CUST031	Spark Intro	132.37	09-04-2025	Credit Card	Houston	Tech
325	CUST030	Python for Data	172.74	04-05-2025	Cash	Seattle	Big Data
326	CUST092	Python for Data	174.05	06-02-2025	Credit Card	New York	Tech
327	CUST017	Spark Advanced	195.53	24-01-2025	Credit Card	San Francisco	Tech
328	CUST044	Python for Data	91.74	03-04-2025	Cash	San Francisco	Programming
329	CUST063	Hadoop Basics	282.72	15-02-2025	Debit Card	Houston	Tech
330	CUST002	Big Data Essentials	128.83	30-06-2025	Cash	Los Angeles	Tech
331	CUST039	Hadoop Basics	199.54	05-04-2025	Credit Card	New York	Tech
332	CUST060	Hadoop Advanced	243.78	09-04-2025	Credit Card	San Francisco	Big Data
333	CUST029	Big Data Essentials	399.06	26-04-2025	Cash	Houston	Programming
334	CUST020	Hadoop Advanced	414.1	09-06-2025	Credit Card	San Francisco	Big Data
335	CUST024	Spark Advanced	144	10-06-2025	Cash	New York	Big Data
336	CUST087	Hadoop Advanced	82.29	08-03-2025	Debit Card	Los Angeles	Tech
337	CUST070	Python for Data	329.5	08-05-2025	Debit Card	Seattle	Tech
338	CUST098	Big Data Essentials	422.45	18-01-2025	Credit Card	Los Angeles	Programming
339	CUST014	Hadoop Advanced	95.68	25-01-2025	Cash	San Francisco	Tech
340	CUST035	Spark Advanced	217.89	23-02-2025	Cash	Chicago	Tech
341	CUST013	Hadoop Advanced	360.33	27-02-2025	Debit Card	Houston	Programming
342	CUST041	Hadoop Advanced	77.74	08-03-2025	Credit Card	Seattle	Big Data
